ID	CP	ストア	出版社	データタイプ	作者	タイトルID	タイトル名	フォーマット	画面サイズ	DL区分	通番	配信許諾名	配信	表示	状態	価格	DL期限	許諾開始日	許諾終了日	配信開始日	配信終了日	登録日時	更新日時
002evf03	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	78	サンプル	○	○	○	0	1	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/23 06:09:04	2018/05/23 06:09:04
002ew36q	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hns	スラッガー	EPUB3.0	汎用	サンプル	20	サンプル	○	○	○	0	1	2018/05/24	2999/12/31	2018/05/24	2999/12/31	2018/05/24 06:08:22	2018/05/24 06:08:22
002eurc1	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnr	スマッシュ	EPUB3.0	汎用	DL	57	2018年7月号	○	○	○	620	無期限	2018/05/22	2999/12/31	2018/05/22	2999/12/31	2018/05/22 06:08:19	2018/05/22 06:08:19
002eurc2	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnr	スマッシュ	EPUB3.0	汎用	サンプル	57	サンプル	○	○	○	0	1	2018/05/22	2999/12/31	2018/05/22	2999/12/31	2018/05/22 06:08:19	2018/05/22 06:08:19
002erztc	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	DL	67	2018/6/7号	○	○	○	694	無期限	2018/05/17	2999/12/31	2018/05/17	2999/12/31	2018/05/17 06:08:57	2018/05/17 06:08:57
002enb6w	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	52	第52号	○	○	○	444	無期限	2018/05/17	2999/12/31	2018/05/17	2999/12/31	2018/05/08 06:08:09	2018/05/08 06:08:09
002enb6x	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	52	サンプル	○	○	○	0	1	2018/05/17	2999/12/31	2018/05/17	2999/12/31	2018/05/08 06:08:09	2018/05/08 06:08:09
002erztd	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	サンプル	67	サンプル	○	○	○	0	1	2018/05/17	2999/12/31	2018/05/17	2999/12/31	2018/05/17 06:08:57	2018/05/17 06:08:57
002eqjbm	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009guc	カスタムピープル	EPUB3.0	汎用	DL	43	2018年7月号	○	○	○	834	無期限	2018/05/16	2999/12/31	2018/05/16	2999/12/31	2018/05/15 06:09:03	2018/05/15 06:09:03
002eqjbn	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009guc	カスタムピープル	EPUB3.0	汎用	サンプル	43	サンプル	○	○	○	0	1	2018/05/16	2999/12/31	2018/05/16	2999/12/31	2018/05/15 06:09:03	2018/05/15 06:09:03
